title	location	posted_date	score	url
Photonics New Product Introduction Engineer	Ottawa	Posted 11 Days Ago	290	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Photonics-New-Product-Introduction-Engineer_R030734
Optical Components Test Engineer	Ottawa	Posted 30+ Days Ago	280	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Optical-Components-Test-Engineer_R030610
Optical Components Product Engineer	Canada- Ottawa- 5050 Innovation- Bldg A	Posted 11 Days Ago	270	https://ciena.wd5.myworkdayjobs.com/Careers/job/Canada--Ottawa--5050-Innovation--Bldg-A/Optical-Components-Product-Engineer_R029987
Photonics Technical Prime	Ottawa	Posted 16 Days Ago	250	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Photonics-Technical-Prime_R030655
Photonics Technical Prime - Junior role	Ottawa	Posted 30+ Days Ago	250	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Photonics-Technical-Prime---Junior-role_R030656
Lab Support Installation Technician - onsite Ottawa	Ottawa	Posted 30+ Days Ago	240	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Lab-Support-Installation-Technician---onsite-Ottawa_R030743
Silicon Photonics Engineer	Ottawa, Canada	Posted 30+ Days Ago	190	https://marvell.wd1.myworkdayjobs.com/en-US/MarvellCareers/job/Ottawa-Canada/Silicon-Photonics-Engineer_2503579-1
Photonics Software Engineer Intern (12 Months, Fall 2026)	Ottawa	Posted 9 Days Ago	150	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Photonics-Software-Engineer-Intern--12-Months--Fall-2026-_R031138
Silicon Photonics Intern - PhD	Ottawa, Canada	Posted 30+ Days Ago	140	https://marvell.wd1.myworkdayjobs.com/en-US/MarvellCareers/job/Ottawa-Canada/Silicon-Photonics-Intern---PhD_2502469-1
Optical Test Engineer	Ottawa, Canada	Posted 30+ Days Ago	140	https://marvell.wd1.myworkdayjobs.com/en-US/MarvellCareers/job/Ottawa-Canada/Optical-Test-Engineer_2601317
Optical Platform Systems Intern (Fall 2026 - 4 months)	Ottawa	Posted 3 Days Ago	120	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Optical-Platform-Systems-Intern--Fall-2026---4-months-_R031001
Senior Optical System Designer	Ottawa	Posted 9 Days Ago	120	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Senior-Optical-System-Designer_R030678
Senior Optical Products Cost Reduction Program Manager	Ottawa	Posted 30+ Days Ago	120	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Senior-Optical-Products-Cost-Reduction-Program-Manager_R029890
QA Automation Developer Intern (Fall 2026 - 8 months)	Ottawa	Posted 22 Days Ago	80	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/QA-Automation-Developer-Intern--Fall-2026---8-months-_R030980
Global Commodity Manager â€“ Photonics Components	Ottawa	Posted 30+ Days Ago	80	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Global-Commodity-Manager---Photonics-Components_R030255
Junior PMO / Business Operations Associate Intern	Ottawa	Posted 24 Days Ago	70	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Junior-PMO---Business-Operations-Associate-Intern_R030909
Quality Assurance Engineer PON / DCOM	Ottawa	Posted 4 Days Ago	50	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Quality-Assurance-Engineer-PON---DCOM_R031140
CAD Tools Specialist	Ottawa	Posted 30+ Days Ago	50	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/CAD-Tools-Specialist_R030766
