title,location,posted_date,score,url
Quality Assurance Engineer PON / DCOM,Ottawa,Posted 2 Days Ago,35,https://ciena.wd5.myworkdayjobs.com/job/Ottawa/Quality-Assurance-Engineer-PON---DCOM_R031140
Research Scientist Engineer - FEC Design Engineer,Canada- Ottawa- 383 Terry Fox- Bldg C,Posted 2 Days Ago,35,https://ciena.wd5.myworkdayjobs.com/job/Canada--Ottawa--383-Terry-Fox--Bldg-C/Research-Scientist-Engineer---FEC-Design-Engineer_R030724
Optical Platform Systems Intern (Fall 2026 - 4 months),Ottawa,Posted Yesterday,25,https://ciena.wd5.myworkdayjobs.com/job/Ottawa/Optical-Platform-Systems-Intern--Fall-2026---4-months-_R031001
Senior Analog Design Engineer,Ottawa,Posted Today,20,https://ciena.wd5.myworkdayjobs.com/job/Ottawa/Senior-Analog-Design-Engineer_R030674
Global Fulfillment Leader,2 Locations,Posted 23 Days Ago,0,https://ciena.wd5.myworkdayjobs.com/job/Belfast/Global-Fulfillment-Leader_R030818-1
"Associate, Services Quoting (P1)",Gurugram,Posted Today,0,https://ciena.wd5.myworkdayjobs.com/job/Gurugram/Associate--Services-Quoting--P1-_R030771
Accountant,Gurugram,Posted Today,0,https://ciena.wd5.myworkdayjobs.com/job/Gurugram/Accountant_R031173
Associate Field Service Engineering,Gurugram,Posted Today,0,https://ciena.wd5.myworkdayjobs.com/job/Gurugram/Associate-Field-Service-Engineering-New-Grad_R030177
Sr. QA Engineer - IP Routing,2 Locations,Posted Yesterday,0,https://ciena.wd5.myworkdayjobs.com/job/Remote-Canada/Sr-QA-Engineer---IP-Routing_R031152
Material Planning Supply Chain Specialist,Pattaya,Posted 2 Days Ago,0,https://ciena.wd5.myworkdayjobs.com/job/Pattaya/Supply-Chain-Leader_R030867
Cloud Platform & AI Engineer,Remote- India- Gurugram,Posted 4 Days Ago,0,https://ciena.wd5.myworkdayjobs.com/job/Remote--India--Gurugram/Cloud-Platform---AI-Engineer_R030459
Lead - Service Operations and Product Management,2 Locations,Posted 5 Days Ago,0,https://ciena.wd5.myworkdayjobs.com/job/Remote-US/Lead---Service-Operations-and-Product-Management_R030865-1
Digital Verification Engineer Prime (FEC),2 Locations,Posted 5 Days Ago,0,https://ciena.wd5.myworkdayjobs.com/job/Ottawa/Digital-Verification-Engineer-Prime--FEC-_R030841-1
Designeur de circuits photoniques sur silicium/Senior Silicon Photonics Chip Designer,3 Locations,Posted Yesterday,-10,https://ciena.wd5.myworkdayjobs.com/job/Quebec/Senior-Silicon-Photonics-Chip-Designer_R030533
Product Line Manager,2 Locations,Posted 30+ Days Ago,-15,https://ciena.wd5.myworkdayjobs.com/job/Ottawa/Product-Line-Manager_R029960
"Senior Associates, Payroll",Gurugram,Posted Today,-15,https://ciena.wd5.myworkdayjobs.com/job/Gurugram/Senior-Associates--Payroll_R031189
Senior UX Designer,2 Locations,Posted Today,-15,https://ciena.wd5.myworkdayjobs.com/job/India--Pune--Panchshil-Tower-C/Senior-UX-Designer_R030613
Senior Analyst - IT-applications - Oracle EBS,Remote- India- Gurugram,Posted 2 Days Ago,-15,https://ciena.wd5.myworkdayjobs.com/job/Remote--India--Gurugram/Senior-Analyst---IT-applications---Oracle-EBS_R029715
"Director, Material Management",4 Locations,Posted 5 Days Ago,-15,https://ciena.wd5.myworkdayjobs.com/job/Mexico--Zapopan---Jardines/Director--Material-Management_R030702-1
Services Operations Program Manager,2 Locations,Posted 5 Days Ago,-15,https://ciena.wd5.myworkdayjobs.com/job/UK--Belfast--87-Park-House/Repairs-Operations-Failures-Analysis--FA--Logistics-Coordinator_R029840
